519431,525807
632381,518062
78863,613713
466579,530131
780494,510033
525894,525321
15990,714884
960289,502359
760017,511030
166799,575488
210883,564479
555150,523164
681145,515200
563394,522588
738249,512127
923524,503781
595147,520430
177107,572630
750922,511483
440901,532447
881417,505505
422488,534198
979857,501617
685892,514936
747476,511662
167213,575368
234139,559697
940237,503123
728968,512610
232082,560103
900970,504695
688800,514773
189663,569403
891021,505105
445688,531997
119569,591872
821452,508119
371083,539601
911744,504252
623654,518601
144360,582487
352441,541776
420725,534368
295297,549388
6529,787778
468396,529977
672335,515697
431860,533290
84227,610151
805375,508858
444408,532118
33832,663512
381849,538397
402930,536158
92900,604931
304824,548005
731916,512453
753733,511345
51893,637374
151577,580104
295074,549422
303589,548184
333593,544124
683951,515043
60089,628881
951419,502693
28334,674992
714939,513350
343857,542827
549278,523587
804570,508888
260652,554882
291398,549967
402341,536214
408888,535551
40327,652525
375855,539062
768906,510591
165992,575716
976326,501756
898499,504796
360403,540831
478713,529096
694143,514473
488725,528259
841379,507227
328011,544840
22388,690869
604052,519853
329513,544642
772964,510391
492797,527928
30124,670984
895602,504907
450784,531540
840236,507277
380710,538523
63576,625674
76800,615158
502693,527124
597705,520258
310483,547207
944467,502960
121282,591153
451130,531508
566498,522368
425372,533919
40239,652666
39129,654393
714925,513356
469218,529904
806928,508784
287969,550488
92188,605333
103840,599095
671838,515726
452047,531422
987836,501324
935191,503322
88584,607451
613882,519217
144550,582414
647358,517156
213901,563817
184119,570790
258125,555323
502545,527131
407654,535679
401527,536307
477489,529194
841084,507238
732830,512409
832999,507596
904693,504543
581434,521349
455544,531111
873557,505830
94915,603797
720175,513069
545033,523892
246347,557410
556451,523080
832014,507635
173662,573565
502633,527126
250731,556612
569785,522140
216918,563179
521814,525624
92303,605271
164445,576168
753412,511365
11409,740713
448844,531713
925071,503726
564887,522478
7061,780813
641154,517536
738877,512101
636203,517829
372539,539437
443161,532238
571191,522043
655349,516681
299740,548736
581913,521308
965470,502157
513440,526278
808681,508701
237588,559035
543299,524026
804711,508890
247510,557193
543485,524009
504382,526993
326528,545040
792492,509459
86032,609018
126553,589006
579378,521482
948025,502824
404776,535970
265766,554023
266875,553841
46630,643715
492396,527959
856105,506582
795756,509306
748945,511585
294693,549481
409780,535464
775886,510254
543746,523992
210591,564537
517118,525991
520252,525752
247925,557125
592140,520627
346579,542493
544968,523903
506500,526818
244519,557739
144744,582350
69273,620859
292619,549785
926026,503688
736319,512226
515527,526114
407548,535689
848088,506928
24140,685712
9223,757965
980683,501587
175258,573122
489159,528217
878969,505605
969545,502003
525206,525366
690460,514676
156509,578552
659777,516427
468738,529946
765251,510771
76702,615231
165150,575960
29778,671737
928864,503570
577537,521606
927554,503619
185376,570478
974755,501810
800129,509094
217015,563154
365708,540217
774507,510321
588715,520852
631672,518105
954075,502591
777827,510162
990658,501223
597798,520255
786904,509728
512546,526349
756448,511213
869786,505989
653746,516780
84622,609901
839697,507296
30158,670910
797274,509235
678135,515374
897143,504852
989553,501264
413291,535107
55296,633668
788649,509638
486747,528418
150723,580378
56433,632491
77206,614870
588630,520860
611618,519368
100005,601056
528923,525094
190224,569258
851154,506790
682592,515115
613042,519276
514672,526184
877633,505656
878904,505603
1925,914952
613244,519260
152480,579817
841773,507204
71059,619443
865334,506176
90243,606470
302155,548389
399058,536558
478464,529114
558600,522926
69131,620967
267662,553701
988275,501311
378353,538788
529908,525015
161732,576969
758540,511110
823424,508025
149820,580668
269257,553439
481151,528892
120870,591323
972321,501902
981349,501568
676128,515484
950859,502718
118999,592115
392251,537273
191617,568920
946698,502875
289554,550248
799321,509140
703885,513943
194811,568144
261822,554686
203051,566222
217329,563094
734747,512314
391758,537329
807051,508778
564466,522511
59185,629749
113446,594546
518062,525917
905943,504493
613921,519214
439092,532608
445945,531982
230529,560400
297886,549008
459028,530798
403691,536076
855117,506617
963126,502246
841710,507209
407410,535700
924728,503736
914822,504133
333724,544102
176344,572833
912506,504226
411272,535309
259773,555037
632852,518039
119722,591802
163901,576322
22690,689945
402426,536213
175768,572989
837259,507403
603431,519894
313678,546768
538164,524395
549025,523609
61082,627946
898344,504799
992555,501154
369998,539728
32846,665405
891291,505089
152714,579733
824103,507998
234056,559712
730506,512533
960528,502341
388394,537688
958169,502438
57104,631807
186024,570312
993042,501134
576769,521665
215318,563514
927341,503629
521352,525667
39562,653706
752515,511409
110754,595771
309748,547306
374378,539225
919183,503953
990651,501227
647779,517136
187176,570018
168937,574878
649557,517024
278125,552017
162038,576869
658511,516500
498114,527487
896582,504869
561169,522741
747771,511648
775092,510295
652080,516883
724904,512825
499706,527366
47387,642756
646667,517205
571699,522008
180429,571748
710014,513618
435521,532942
98136,602042
759175,511071
486123,528468
526941,525237
878920,505605
408312,535603
926979,503641
882352,505460
566886,522346
3325,853313
911980,504249
416308,534801
392990,537200
622828,518652
148646,581056
496482,527625
666313,516045
48561,641294
672617,515685
